ERI_1,ERI_2,ERI_3,ERI_4,ERI_5,ERI_6,ERI_7,ERI_8,ERI_9,ERI_10,CBI_01,CBI_02,CBI_03,CBI_04,CBI_05,CBI_06,gender,birth year,status of employment,field of work,federal state,community size,income,working_hours,cbi_score,Burnout_Score
Agree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Seldom,Sometimes,Seldom,Seldom,Seldom,Sometimes,Female,1986.0,Other,University,Bavaria,20000 pop. aprox.,1. less than 1000 eur,60,33.33,0
Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Sometimes,Often,Often,Often,Often,Always,Female,1980.0,Employed,Industry Field Service,Brandenburg,20000 pop. aprox.,3. 2000 to 3000 eur,35,75.0,1
Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Never,Seldom,Seldom,Always,Seldom,Sometimes,Female,1989.0,Employed,Industry Field Service,Brandenburg,5000 pop. aprox.,3. 2000 to 3000 eur,42,37.5,0
Agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Seldom,Seldom,Sometimes,Sometimes,Seldom,Often,Female,1984.0,Employed,Food Industry,Brandenburg,50000 pop. aprox.,3. 2000 to 3000 eur,45,41.67,0
Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Often,Always,Always,Always,Always,Always,Male,1978.0,Employed,Horses,Brandenburg,100000 pop. aprox.,2. 1000 to 2000 eur,40,95.83,1
Agree,Agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Sometimes,Often,Often,Often,Sometimes,Often,Female,1961.0,Employed,Industry Field Service,Brandenburg,20000 pop. aprox.,4. 3000 to 4000 eur,50,66.67,1
Disagree,Strongly agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Seldom,Seldom,Seldom,Often,Sometimes,Sometimes,Female,1968.0,Employed,Zoo Animals,Mecklenburg-Vorpommern,20000 pop. aprox.,3. 2000 to 3000 eur,38,41.67,0
Agree,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Agree,Seldom,Seldom,Often,Sometimes,Seldom,Sometimes,Female,1966.0,Employed,Industry Field Service,Baden-Wurttemberg,20000 pop. aprox.,4. 3000 to 4000 eur,20,41.67,0
Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Seldom,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Female,1970.0,Employed,Industry Field Service,Brandenburg,5000 pop. aprox.,4. 3000 to 4000 eur,40,37.5,0
Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Seldom,Seldom,Seldom,Sometimes,Seldom,Sometimes,Female,1956.0,Other,Horses,Brandenburg,5000 pop. aprox.,1. less than 1000 eur,55,33.33,0
