ERI_1,ERI_2,ERI_3,ERI_4,ERI_5,ERI_6,ERI_7,ERI_8,ERI_9,ERI_10,CBI_01,CBI_02,CBI_03,CBI_04,CBI_05,CBI_06,gender,birth year,status of employment,field of work,federal state,community size,income,working_hours,age,CBI_SCORE,Burnout_Score
Agree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Seldom,Sometimes,Seldom,Seldom,Seldom,Sometimes,Female,1986.0,Other,University,Bavaria,20000 pop. aprox.,1. less than 1000 eur,60,40.0,33.3,0
Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Sometimes,Often,Often,Often,Often,Always,Female,1980.0,Employed,Industry Field Service,Brandenburg,20000 pop. aprox.,3. 2000 to 3000 eur,35,46.0,75.0,1
Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Never,Seldom,Seldom,Always,Seldom,Sometimes,Female,1989.0,Employed,Industry Field Service,Brandenburg,5000 pop. aprox.,3. 2000 to 3000 eur,42,37.0,37.5,0
Agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Seldom,Seldom,Sometimes,Sometimes,Seldom,Often,Female,1984.0,Employed,Food Industry,Brandenburg,50000 pop. aprox.,3. 2000 to 3000 eur,45,42.0,41.7,0
Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Often,Always,Always,Always,Always,Always,Male,1978.0,Employed,Horses,Brandenburg,100000 pop. aprox.,2. 1000 to 2000 eur,40,48.0,95.8,1
Agree,Agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Sometimes,Often,Often,Often,Sometimes,Often,Female,1961.0,Employed,Industry Field Service,Brandenburg,20000 pop. aprox.,4. 3000 to 4000 eur,50,65.0,66.7,1
Disagree,Strongly agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Seldom,Seldom,Seldom,Often,Sometimes,Sometimes,Female,1968.0,Employed,Zoo Animals,Mecklenburg-Vorpommern,20000 pop. aprox.,3. 2000 to 3000 eur,38,58.0,41.7,0
Agree,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Agree,Seldom,Seldom,Often,Sometimes,Seldom,Sometimes,Female,1966.0,Employed,Industry Field Service,Baden-Wurttemberg,20000 pop. aprox.,4. 3000 to 4000 eur,20,60.0,41.7,0
Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Seldom,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Female,1970.0,Employed,Industry Field Service,Brandenburg,5000 pop. aprox.,4. 3000 to 4000 eur,40,56.0,37.5,0
Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Seldom,Seldom,Seldom,Sometimes,Seldom,Sometimes,Female,1956.0,Other,Horses,Brandenburg,5000 pop. aprox.,1. less than 1000 eur,55,70.0,33.3,0
Agree,Strongly agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Agree,Strongly agree,Seldom,Sometimes,Sometimes,Often,Often,Sometimes,Female,1970.0,Employed,Industry Field Service,Brandenburg,5000 pop. aprox.,4. 3000 to 4000 eur,40,56.0,54.2,1
Agree,Agree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Seldom,Often,Sometimes,Often,Sometimes,Sometimes,Female,1958.0,Employed,Food Industry,Brandenburg,5000 pop. aprox.,3. 2000 to 3000 eur,44,68.0,54.2,1
Agree,Agree,Strongly agree,Disagree,Agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Female,1969.0,Employed,Other,Brandenburg,50000 pop. aprox.,3. 2000 to 3000 eur,50,57.0,58.3,1
Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Never,Never,Seldom,Seldom,Seldom,Female,1983.0,Employed,Small Animal Medicine,Saxony (Sachsen),100000 pop. aprox.,3. 2000 to 3000 eur,50,43.0,12.5,0
Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Disagree,Agree,Seldom,Sometimes,Sometimes,Sometimes,Seldom,Sometimes,Female,1974.0,Employed,Slaughterhouse,Saxony (Sachsen),100000 pop. aprox.,5. 4000 to 5000 eur,50,52.0,41.7,0
Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Seldom,Seldom,Sometimes,Sometimes,Seldom,Sometimes,Female,1983.0,Employed,Small Animal Medicine,Saxony (Sachsen),100000 pop. aprox.,2. 1000 to 2000 eur,55,43.0,37.5,0
Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Never,Seldom,Seldom,Sometimes,Seldom,Sometimes,Male,1957.0,Employed,Research,Saxony (Sachsen),50000 pop. aprox.,6. more than 5000 eur,50,69.0,29.2,0
Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Seldom,Often,Seldom,Seldom,Seldom,Often,Male,1987.0,Employed,Slaughterhouse,Saxony (Sachsen),100000 pop. aprox.,2. 1000 to 2000 eur,20,39.0,41.7,0
Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Often,Often,Often,Often,Often,Always,Female,1963.0,Employed,Industry Field Service,Saxony (Sachsen),5000 pop. aprox.,3. 2000 to 3000 eur,40,63.0,79.2,1
Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Agree,Disagree,Disagree,Seldom,Seldom,Seldom,Sometimes,Seldom,Often,Male,1963.0,Employed,Industry Field Service,Saxony (Sachsen),5000 pop. aprox.,4. 3000 to 4000 eur,45,63.0,37.5,0
Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Seldom,Sometimes,Often,Always,Often,Often,Male,1979.0,Employed,Farm Animals,Saxony (Sachsen),20000 pop. aprox.,3. 2000 to 3000 eur,50,47.0,66.7,1
Disagree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Sometimes,Sometimes,Often,Often,Often,Always,Female,1968.0,Employed,Industry Field Service,Saxony (Sachsen),5000 pop. aprox.,3. 2000 to 3000 eur,30,58.0,70.8,1
