ERI_1,ERI_2,ERI_3,ERI_4,ERI_5,ERI_6,ERI_7,ERI_8,ERI_9,ERI_10,CBI_01,CBI_02,CBI_03,CBI_04,CBI_05,CBI_06,gender,birth year,status of employment,field of work,federal state,community size,income,working_hours,age,CBI_SCORE,Burnout_Score
3,3,3,1,3,3,3,2,2,1,25,50,25,25,25,50,2,1986.0,9,12,2,2,1,60,40.0,33.3,0
2,2,2,3,3,2,1,3,3,3,50,75,75,75,75,100,2,1980.0,2,9,4,2,3,35,46.0,75.0,1
3,3,3,3,2,2,1,3,3,3,0,25,25,100,25,50,2,1989.0,2,9,4,1,3,42,37.0,37.5,0
3,4,4,1,2,2,2,2,2,3,25,25,50,50,25,75,2,1984.0,2,5,4,3,3,45,42.0,41.7,0
3,3,3,3,2,2,2,3,3,3,75,100,100,100,100,100,1,1978.0,2,2,4,4,2,40,48.0,95.8,1
3,3,3,1,4,3,4,1,2,1,50,75,75,75,50,75,2,1961.0,2,9,4,2,4,50,65.0,66.7,1
2,4,2,2,3,2,2,2,2,2,25,25,25,75,50,50,2,1968.0,2,13,8,2,3,38,58.0,41.7,0
3,3,3,3,3,2,1,3,2,3,25,25,75,50,25,50,2,1966.0,2,9,1,2,4,20,60.0,41.7,0
3,3,3,2,3,3,2,2,2,3,25,25,25,50,50,50,2,1970.0,2,9,4,1,4,40,56.0,37.5,0
3,3,4,3,2,2,1,3,3,2,25,25,25,50,25,50,2,1956.0,9,2,4,1,1,55,70.0,33.3,0
3,4,3,3,2,2,2,4,3,4,25,50,50,75,75,50,2,1970.0,2,9,4,1,4,40,56.0,54.2,1
3,3,3,2,4,2,1,2,2,3,25,75,50,75,50,50,2,1958.0,2,5,4,1,3,44,68.0,54.2,1
3,3,4,2,3,3,1,2,2,3,75,50,50,50,50,75,2,1969.0,2,14,4,3,3,50,57.0,58.3,1
4,4,4,2,3,3,1,1,1,1,0,0,0,25,25,25,2,1983.0,2,1,13,4,3,50,43.0,12.5,0
4,4,4,1,3,3,2,1,2,3,25,50,50,50,25,50,2,1974.0,2,6,13,4,5,50,52.0,41.7,0
4,4,4,1,4,2,2,2,2,1,25,25,50,50,25,50,2,1983.0,2,1,13,4,2,55,43.0,37.5,0
4,4,3,2,2,2,1,3,4,4,0,25,25,50,25,50,1,1957.0,2,11,13,3,6,50,69.0,29.2,0
2,2,3,3,4,3,3,4,4,3,25,75,25,25,25,75,1,1987.0,2,6,13,4,2,20,39.0,41.7,0
2,3,2,2,3,3,2,2,3,2,75,75,75,75,75,100,2,1963.0,2,9,13,1,3,40,63.0,79.2,1
4,4,4,3,4,3,1,3,2,2,25,25,25,50,25,75,1,1963.0,2,9,13,1,4,45,63.0,37.5,0
3,3,2,3,3,2,2,3,2,3,25,50,75,100,75,75,1,1979.0,2,3,13,2,3,50,47.0,66.7,1
2,2,2,1,3,2,3,2,2,3,50,50,75,75,75,100,2,1968.0,2,9,13,1,3,30,58.0,70.8,1
3,3,3,3,2,2,2,3,3,3,75,50,75,75,75,50,2,1990.0,2,11,13,4,2,40,36.0,66.7,1
1,3,3,4,3,1,1,4,3,3,75,75,75,75,75,75,2,1970.0,2,9,13,2,3,35,56.0,75.0,1
3,3,3,1,3,2,1,2,2,2,50,75,50,75,75,100,1,1971.0,2,9,13,4,5,45,55.0,70.8,1
3,3,3,2,2,2,2,1,2,1,25,25,25,25,25,50,2,1976.0,1,1,2,2,4,45,50.0,29.2,0
3,4,4,2,3,1,1,2,2,3,50,75,50,75,25,50,2,1977.0,2,9,13,2,4,40,49.0,54.2,1
3,3,4,2,2,2,2,2,3,3,50,50,50,75,75,75,2,1961.0,2,14,13,1,5,50,65.0,62.5,1
3,3,3,2,3,3,3,2,2,1,25,25,50,50,50,50,2,1986.0,2,2,13,1,2,60,40.0,41.7,0
2,2,3,4,2,1,1,4,4,2,50,75,100,100,100,100,2,1988.0,1,1,14,3,2,40,38.0,87.5,1
2,2,2,2,3,2,2,2,2,2,25,50,75,75,50,75,2,1988.0,2,11,13,4,1,45,38.0,58.3,1
2,2,2,3,3,3,3,3,3,2,50,50,75,100,75,75,2,1989.0,2,11,3,4,1,40,37.0,70.8,1
3,3,3,1,4,4,4,4,4,3,50,50,50,50,50,50,2,1956.0,2,9,13,1,5,40,70.0,50.0,1
2,4,2,3,4,2,3,3,1,3,25,75,50,100,50,75,1,1987.0,2,11,13,4,3,40,39.0,62.5,1
3,3,2,3,2,2,1,2,3,3,25,50,75,100,25,100,1,1957.0,1,2,4,1,5,70,69.0,62.5,1
2,2,3,3,3,2,2,3,2,2,50,75,50,75,75,75,1,1987.0,2,11,13,1,3,50,39.0,66.7,1
3,3,4,2,3,2,2,2,2,2,25,50,25,50,50,50,2,1988.0,2,1,13,4,2,30,38.0,41.7,0
3,3,3,2,4,2,2,2,2,2,0,25,50,75,50,75,2,1983.0,2,11,13,4,2,50,43.0,45.8,0
2,2,2,4,4,3,4,4,2,3,25,100,100,100,75,75,1,1965.0,2,14,13,3,5,43,61.0,79.2,1
2,3,3,3,1,1,1,3,3,2,100,75,75,100,75,75,2,1963.0,2,11,13,4,5,50,63.0,83.3,1
2,4,4,1,4,3,1,1,2,1,25,25,25,25,25,25,2,1979.0,1,1,13,1,2,45,47.0,25.0,0
2,2,2,3,3,1,2,3,3,2,50,75,75,100,100,100,2,1987.0,2,1,4,1,2,30,39.0,83.3,1
2,2,2,3,2,3,1,3,3,3,25,25,50,25,25,75,2,1970.0,2,11,13,2,5,40,56.0,37.5,0
2,2,3,1,3,2,2,2,2,2,100,75,100,100,100,100,1,1969.0,2,11,2,1,4,42,57.0,95.8,1
3,3,3,3,4,2,1,2,2,2,25,50,50,75,50,75,2,1966.0,2,9,13,1,4,45,60.0,54.2,1
3,3,2,1,4,3,1,2,3,1,25,75,75,50,50,50,1,1989.0,2,12,13,4,1,45,37.0,54.2,1
3,3,3,2,3,3,3,2,2,1,25,50,50,75,50,75,2,1986.0,2,11,13,4,1,50,40.0,54.2,1
3,3,3,1,2,2,3,2,3,1,25,25,25,25,25,25,2,1983.0,2,11,13,4,2,50,43.0,25.0,0
3,3,2,3,3,2,2,3,3,3,50,50,75,75,75,75,2,1972.0,2,1,13,2,2,20,54.0,66.7,1
2,2,2,3,2,2,2,2,2,3,50,50,75,75,75,75,2,1985.0,2,14,13,4,3,45,41.0,66.7,1
4,3,3,1,3,3,2,2,2,2,25,25,25,50,25,50,2,1972.0,4,9,4,3,3,50,54.0,33.3,0
3,3,3,3,1,2,1,3,3,3,50,50,50,50,50,75,2,1962.0,1,13,4,2,1,65,64.0,54.2,1
2,2,2,2,4,4,4,2,1,1,50,50,50,75,75,100,2,1977.0,2,9,15,1,2,35,49.0,66.7,1
3,3,3,1,3,2,2,1,1,1,25,25,25,25,25,25,2,1966.0,1,1,15,3,4,50,60.0,25.0,0
2,2,2,3,2,1,1,3,3,3,75,75,75,100,100,100,1,1980.0,2,9,15,1,5,39,46.0,87.5,1
3,3,3,1,1,1,1,3,3,4,75,100,75,100,100,100,2,1981.0,2,15,13,4,1,45,45.0,91.7,1
3,4,4,1,1,3,1,1,3,3,25,25,25,50,0,25,2,1978.0,2,9,4,1,3,45,48.0,25.0,0
3,3,3,3,3,2,1,2,3,2,50,50,50,75,50,75,2,1962.0,1,1,15,1,2,25,64.0,58.3,1
3,4,4,3,3,2,2,3,3,1,25,25,50,75,50,100,2,1985.0,1,2,4,1,2,70,41.0,54.2,1
3,3,3,2,2,2,2,1,2,1,25,25,25,50,50,50,2,1971.0,1,1,9,2,3,50,55.0,37.5,0
4,4,3,2,3,3,1,2,1,2,25,50,50,50,25,75,2,1963.0,2,11,13,4,5,45,63.0,45.8,0
2,3,4,2,3,3,3,2,3,3,50,75,50,75,75,100,2,1956.0,2,13,13,1,1,45,70.0,70.8,1
2,2,3,3,3,1,2,3,3,3,25,50,75,75,50,50,2,1989.0,2,1,13,4,2,60,37.0,54.2,1
3,3,3,4,3,2,1,3,2,2,75,100,75,100,100,75,2,1973.0,2,1,15,1,2,30,53.0,87.5,1
4,3,3,3,2,2,1,2,2,2,75,75,75,75,50,100,1,1972.0,1,1,15,2,5,55,54.0,75.0,1
3,3,3,3,2,2,1,4,3,4,25,25,50,75,50,50,2,1960.0,1,1,1,1,3,40,66.0,45.8,0
3,2,3,3,2,2,2,3,3,3,25,25,25,50,25,50,1,1979.0,2,3,15,3,3,60,47.0,33.3,0
3,3,3,3,2,2,2,3,3,3,25,50,25,75,25,75,1,1965.0,1,3,13,1,6,80,61.0,45.8,0
3,4,2,2,2,2,1,2,3,2,25,25,25,50,25,75,1,1962.0,1,2,15,3,1,70,64.0,37.5,0
4,2,3,2,3,3,2,2,2,3,25,25,25,25,25,50,2,1988.0,2,1,13,4,1,30,38.0,29.2,0
3,2,3,3,3,2,1,3,2,2,25,25,50,50,50,50,2,1978.0,2,3,15,1,3,80,48.0,41.7,0
2,1,4,4,3,1,1,4,4,4,25,50,75,100,100,100,2,1972.0,1,2,9,3,4,46,54.0,75.0,1
3,3,3,2,4,3,3,1,1,1,25,25,50,50,50,75,1,1968.0,1,3,15,1,3,70,58.0,45.8,0
2,3,3,2,4,2,1,2,2,2,25,25,25,25,25,25,2,1976.0,2,13,15,1,3,30,50.0,25.0,0
3,3,3,2,3,3,2,1,2,1,25,25,25,25,25,25,2,1989.0,2,1,3,4,1,30,37.0,25.0,0
3,3,3,2,2,2,2,2,2,2,75,50,50,50,75,75,1,1967.0,1,1,15,2,4,50,59.0,62.5,1
3,3,3,2,3,3,2,2,2,2,25,25,50,50,50,50,2,1965.0,9,13,15,1,1,45,61.0,41.7,0
3,4,3,3,3,1,1,3,2,3,50,75,100,100,100,75,1,1959.0,2,9,13,2,5,40,67.0,83.3,1
3,3,3,3,2,2,2,3,3,3,0,25,25,50,25,50,2,1978.0,2,9,13,4,3,42,48.0,29.2,0
1,3,1,2,4,2,3,3,2,2,50,100,75,75,100,100,1,1961.0,2,13,15,3,3,30,65.0,83.3,1
2,2,2,2,2,3,2,3,2,2,25,25,25,25,25,50,1,1980.0,2,3,15,2,2,43,46.0,29.2,0
2,2,2,3,2,2,2,1,2,1,25,50,50,75,25,100,2,1981.0,2,1,2,3,2,42,45.0,54.2,1
1,1,1,4,2,1,1,3,3,3,75,75,100,100,100,75,2,1985.0,2,11,13,4,2,40,41.0,87.5,1
3,2,2,3,2,2,2,3,3,3,50,50,50,50,50,75,2,1991.0,6,13,4,4,1,20,35.0,54.2,1
3,4,4,3,2,3,3,2,3,2,25,25,25,75,25,50,2,1961.0,2,9,9,3,5,60,65.0,37.5,0
2,2,2,2,3,2,3,2,3,2,25,25,50,75,50,50,2,1973.0,2,3,15,1,3,30,53.0,45.8,0
3,3,3,2,2,2,1,2,2,1,25,25,25,25,25,25,2,1978.0,2,8,2,2,3,50,48.0,25.0,0
2,2,3,3,4,3,1,2,2,1,25,50,50,75,50,75,2,1985.0,2,1,15,2,2,45,41.0,54.2,1
4,4,4,2,3,3,2,1,2,1,25,50,50,75,50,50,2,1978.0,2,3,15,1,3,60,48.0,50.0,1
1,2,2,4,2,1,1,4,4,3,25,75,75,75,75,100,2,1987.0,2,6,3,4,2,38,39.0,70.8,1
3,3,3,3,2,2,1,3,3,3,25,50,25,50,50,50,2,1966.0,2,1,15,1,3,30,60.0,41.7,0
3,3,3,3,2,1,1,3,3,3,25,50,25,25,50,50,2,1959.0,2,5,9,4,6,42,67.0,37.5,0
4,3,3,3,3,3,1,1,2,1,0,0,0,25,25,50,1,1971.0,1,1,6,1,3,60,55.0,16.7,0
3,3,4,4,1,1,2,3,3,2,75,50,100,100,100,75,1,1980.0,1,1,15,1,2,65,46.0,83.3,1
3,4,4,2,2,2,2,2,2,1,50,50,50,25,25,50,2,1987.0,2,1,13,4,2,60,39.0,41.7,0
2,2,2,3,2,2,2,3,3,2,25,50,50,75,100,75,2,1979.0,1,3,15,1,3,45,47.0,62.5,1
4,4,4,1,4,3,1,2,2,2,25,25,50,75,50,75,1,1964.0,2,9,13,1,1,50,62.0,50.0,1
3,3,3,2,4,3,2,1,2,2,25,25,50,75,50,50,2,1981.0,4,1,13,4,3,48,45.0,45.8,0
3,3,3,3,2,2,3,3,3,2,25,25,50,50,50,75,2,1988.0,2,11,13,4,2,45,38.0,45.8,0
3,3,2,4,2,1,1,3,4,4,50,75,100,75,75,75,2,1987.0,3,3,13,1,4,40,39.0,75.0,1
2,2,2,3,3,3,3,2,2,1,25,50,50,50,50,50,2,1977.0,4,1,15,1,1,7,49.0,45.8,0
4,3,4,1,3,3,1,1,2,1,0,0,50,25,25,50,2,1986.0,2,1,2,3,3,55,40.0,25.0,0
3,4,4,3,2,1,1,4,4,3,50,50,75,100,100,75,2,1971.0,1,3,13,1,5,50,55.0,75.0,1
4,3,4,2,2,2,2,2,3,2,50,25,25,25,25,50,2,1960.0,2,9,9,1,4,60,66.0,33.3,0
3,4,3,2,2,1,1,2,3,3,25,50,50,75,25,50,2,1970.0,2,11,3,4,4,60,56.0,45.8,0
3,3,2,3,2,3,3,3,2,2,25,75,50,25,50,75,2,1979.0,2,6,4,4,3,45,47.0,50.0,1
4,4,4,2,3,2,2,4,3,4,25,25,25,50,25,75,1,1955.0,1,3,15,1,6,50,71.0,37.5,0
3,2,3,3,3,2,2,2,2,1,50,25,50,50,25,50,2,1980.0,2,1,4,4,2,30,46.0,41.7,0
3,3,3,2,3,2,2,2,2,2,0,25,25,25,25,50,2,1988.0,2,1,2,4,3,65,38.0,25.0,0
3,3,3,2,2,2,3,3,2,1,25,50,50,50,50,75,2,1990.0,2,1,15,1,1,30,36.0,50.0,1
2,1,1,3,3,3,3,3,2,4,50,75,100,100,75,75,2,1989.0,2,11,13,4,2,20,37.0,79.2,1
4,3,2,3,3,2,1,3,3,2,25,25,25,25,25,75,2,1979.0,2,1,4,4,3,60,47.0,33.3,0
2,3,3,2,2,2,1,2,3,4,25,50,50,100,50,50,2,1970.0,9,13,15,3,4,33,56.0,54.2,1
3,3,3,3,3,2,2,3,3,2,50,75,50,25,50,75,2,1962.0,1,1,9,3,4,40,64.0,54.2,1
3,4,3,2,3,3,2,2,2,1,25,25,25,75,50,50,2,1990.0,2,1,13,1,1,25,36.0,41.7,0
4,4,4,1,4,3,2,2,1,1,0,0,0,25,25,25,2,1972.0,1,1,2,2,4,50,54.0,12.5,0
2,3,2,3,3,3,3,2,2,2,50,50,25,75,50,75,2,1959.0,1,3,9,1,5,48,67.0,54.2,1
1,2,2,3,2,2,1,3,3,2,50,50,75,100,50,25,1,1955.0,1,3,15,1,4,50,71.0,58.3,1
3,3,3,1,3,3,2,1,2,1,25,50,25,50,75,75,2,1989.0,2,3,9,1,3,60,37.0,50.0,1
3,1,4,2,3,3,1,1,4,2,25,25,25,50,25,50,2,1988.0,2,3,9,1,3,70,38.0,33.3,0
2,3,1,3,2,1,1,2,4,2,50,75,100,100,75,75,2,1988.0,2,11,9,4,1,40,38.0,79.2,1
3,2,3,1,1,2,1,1,3,4,25,50,25,75,50,100,1,1961.0,1,2,2,2,6,60,65.0,54.2,1
3,2,3,1,4,3,2,1,3,1,25,50,25,25,25,75,2,1974.0,2,1,10,4,2,50,52.0,37.5,0
2,3,4,4,4,2,2,2,2,2,25,50,50,100,25,75,1,1987.0,2,3,13,4,2,50,39.0,54.2,1
3,3,2,1,4,2,2,2,1,1,25,25,50,75,75,25,1,1990.0,2,1,4,4,1,40,36.0,45.8,0
3,3,4,2,3,2,1,2,2,3,25,25,75,100,50,75,2,1980.0,2,9,13,4,3,44,46.0,58.3,1
1,3,2,1,2,1,1,3,3,3,25,50,50,50,50,75,2,1982.0,9,9,15,4,3,41,44.0,50.0,1
4,4,4,1,3,3,3,1,1,1,25,25,25,25,25,75,2,1978.0,2,1,15,4,3,60,48.0,33.3,0
3,3,3,1,4,3,2,1,1,1,50,50,75,75,75,50,2,1985.0,2,3,13,4,2,30,41.0,62.5,1
1,2,3,3,2,2,1,3,3,2,25,25,25,50,25,50,2,1967.0,1,1,13,3,3,40,59.0,33.3,0
3,4,4,1,4,3,3,1,1,3,0,25,25,25,25,50,2,1977.0,2,9,13,4,2,20,49.0,25.0,0
3,3,3,2,2,2,2,2,2,2,50,50,50,75,50,75,2,1987.0,2,1,13,1,2,50,39.0,58.3,1
3,3,3,4,2,2,1,3,3,3,75,75,75,100,75,100,2,1977.0,1,1,13,2,3,60,49.0,83.3,1
2,2,1,2,4,2,2,2,2,2,25,75,75,50,50,75,2,1971.0,1,1,13,4,2,35,55.0,58.3,1
3,3,3,1,4,3,2,1,2,1,75,75,100,100,100,100,1,1961.0,2,3,13,1,4,50,65.0,91.7,1
3,2,3,3,3,2,2,3,3,3,25,50,50,75,50,25,2,1975.0,2,1,15,1,2,30,51.0,45.8,0
3,2,3,4,1,1,1,3,4,3,75,75,100,100,75,75,2,1982.0,1,2,13,1,6,70,44.0,83.3,1
3,3,3,3,2,2,2,3,2,2,25,25,25,25,25,75,2,1968.0,1,3,13,1,4,60,58.0,33.3,0
3,2,2,1,4,4,1,1,1,2,25,25,0,0,25,75,2,1971.0,8,1,15,2,3,35,55.0,25.0,0
2,3,2,3,3,2,2,3,3,1,0,25,50,50,50,75,2,1962.0,1,1,15,3,2,35,64.0,41.7,0
2,3,3,3,2,2,2,4,3,2,50,75,75,100,75,75,2,1961.0,1,1,15,2,4,50,65.0,75.0,1
3,2,2,3,4,1,1,3,3,3,50,25,25,75,50,100,2,1972.0,1,2,15,1,3,50,54.0,54.2,1
3,2,3,3,2,1,1,3,3,3,50,100,100,100,100,100,2,1988.0,2,11,15,4,3,45,38.0,91.7,1
2,2,2,2,3,3,3,2,2,1,25,25,50,75,50,50,1,1953.0,1,1,4,4,2,0,73.0,45.8,0
4,4,4,2,4,4,3,1,1,1,25,25,0,50,25,75,2,1977.0,1,1,2,2,2,42,49.0,33.3,0
3,3,4,3,2,2,1,3,4,4,25,25,25,25,50,50,1,1975.0,1,1,13,1,6,70,51.0,33.3,0
2,2,3,4,3,2,1,3,3,3,50,50,75,100,75,75,2,1965.0,1,1,4,3,4,40,61.0,70.8,1
3,3,2,2,2,2,2,2,3,2,25,25,25,50,50,50,2,1977.0,2,1,10,2,2,30,49.0,37.5,0
3,3,3,2,3,2,1,1,1,1,25,50,25,50,25,75,2,1986.0,2,1,3,4,2,70,40.0,41.7,0
3,3,3,2,1,2,1,3,3,1,25,25,50,75,50,50,2,1966.0,1,1,15,1,2,60,60.0,45.8,0
4,3,4,4,3,1,1,3,3,1,75,50,50,75,75,100,2,1964.0,2,1,2,3,4,50,62.0,70.8,1
3,3,4,2,4,3,1,2,1,1,25,50,25,75,50,50,2,1963.0,1,3,13,1,3,60,63.0,45.8,0
2,3,3,3,3,1,2,3,3,2,50,25,75,75,50,75,2,1987.0,2,3,15,1,2,50,39.0,58.3,1
3,2,3,1,3,2,1,2,2,1,25,25,25,25,0,50,2,1985.0,2,1,13,4,2,60,41.0,25.0,0
3,4,3,3,1,2,2,3,3,3,50,75,75,100,75,100,1,1963.0,1,1,8,3,3,55,63.0,79.2,1
3,3,1,3,3,3,1,2,1,2,75,75,50,100,100,100,1,1954.0,1,1,15,2,5,60,72.0,83.3,1
3,3,3,2,3,2,1,3,3,2,25,25,25,75,50,100,1,1968.0,1,1,4,3,5,60,58.0,50.0,1
3,2,3,3,1,1,1,3,2,2,25,50,50,50,50,50,2,1970.0,1,2,9,1,5,60,56.0,45.8,0
2,3,3,3,2,1,1,3,3,3,25,50,25,50,50,75,2,1954.0,1,2,2,1,5,70,72.0,45.8,0
3,2,3,4,3,2,2,4,2,3,75,50,50,50,50,75,2,1972.0,2,8,15,2,1,45,54.0,58.3,1
2,3,2,2,3,1,2,2,3,2,25,50,75,25,25,75,2,1975.0,2,9,13,4,5,42,51.0,45.8,0
3,2,3,2,3,2,2,2,2,1,25,25,50,50,25,25,2,1961.0,1,1,15,2,2,50,65.0,33.3,0
3,3,3,3,3,2,2,2,2,2,50,50,50,75,50,50,2,1971.0,2,1,4,4,2,35,55.0,54.2,1
4,4,4,1,4,4,2,1,1,1,0,0,0,0,0,0,2,1978.0,2,1,2,3,2,60,48.0,0.0,0
2,2,2,2,4,3,2,1,1,1,25,25,25,25,25,75,1,1970.0,2,1,13,4,2,45,56.0,33.3,0
3,2,2,3,3,2,2,2,2,1,75,50,75,100,75,75,2,1982.0,4,3,15,1,1,0,44.0,75.0,1
3,2,2,2,2,2,2,2,3,2,50,50,50,50,50,50,2,1976.0,2,1,15,1,3,40,50.0,50.0,1
4,4,4,2,1,4,2,2,4,1,0,0,0,0,0,25,1,1960.0,1,1,13,1,1,70,66.0,4.2,0
2,1,2,2,2,2,2,3,3,3,50,50,50,50,75,75,2,1963.0,2,14,15,1,2,20,63.0,58.3,1
4,3,3,3,1,1,1,3,4,2,25,75,75,50,50,75,1,1979.0,2,2,10,1,4,70,47.0,58.3,1
3,3,3,2,4,2,2,1,1,1,25,0,25,25,25,50,2,1981.0,2,1,15,2,2,50,45.0,25.0,0
3,3,4,1,4,3,1,1,1,2,25,75,75,100,75,100,2,1975.0,2,9,9,3,4,45,51.0,75.0,1
3,3,3,1,4,2,1,1,1,1,25,25,50,50,50,50,2,1979.0,2,2,15,1,2,55,47.0,41.7,0
3,4,4,2,4,3,2,1,1,1,0,0,0,50,25,75,2,1985.0,2,1,15,1,3,45,41.0,25.0,0
4,3,4,1,3,4,4,2,2,2,25,25,25,25,25,25,2,1983.0,4,1,10,2,3,70,43.0,25.0,0
4,4,4,3,2,3,1,3,3,3,25,25,25,75,50,50,2,1979.0,2,9,7,1,3,40,47.0,41.7,0
3,3,4,3,3,2,2,2,1,1,25,50,50,50,50,75,2,1986.0,2,1,16,4,2,50,40.0,50.0,1
3,3,3,3,3,2,2,3,3,2,0,25,25,25,25,75,2,1974.0,1,1,9,2,4,48,52.0,29.2,0
3,3,3,4,2,1,1,3,3,4,50,50,75,75,50,75,1,1962.0,2,1,13,4,1,50,64.0,62.5,1
