ERI_1,ERI_2,ERI_3,ERI_4,ERI_5,ERI_6,ERI_7,ERI_8,ERI_9,ERI_10,CBI_01,CBI_02,CBI_03,CBI_04,CBI_05,CBI_06,gender,birth year,status of employment,field of work,federal state,community size,income,working hours,TRANSLATE,CONVERT,REDONDEAR
3,3,3,1,3,3,3,2,2,1,4,3,4,4,4,3,2,1986,9,12,2,2,1,60,60,60,60
2,2,2,3,3,2,1,3,3,3,3,2,2,2,2,1,2,1980,2,9,4,2,3,35,35,35,35
3,3,3,3,2,2,1,3,3,3,5,4,4,1,4,3,2,1989,2,9,4,1,3,42,42,42,42
3,4,4,1,2,2,2,2,2,3,4,4,3,3,4,2,2,1984,2,5,4,3,3,45,45,45,45
3,3,3,3,2,2,2,3,3,3,2,1,1,1,1,1,1,1978,2,2,4,4,2,40,40,40,40
3,3,3,1,4,3,4,1,2,1,3,2,2,2,3,2,2,1961,2,9,4,2,4,35-50,35-50,50,50
2,4,2,2,3,2,2,2,2,2,4,4,4,2,3,3,2,1968,2,13,8,2,3,38,38,38,38
3,3,3,3,3,2,1,3,2,3,4,4,2,3,4,3,2,1966,2,9,1,2,4,20,20,20,20
3,3,3,2,3,3,2,2,2,3,4,4,4,3,3,3,2,1970,2,9,4,1,4,40,40,40,40
3,3,4,3,2,2,1,3,3,2,4,4,4,3,4,3,2,1956,9,2,4,1,1,55,55,55,55
3,4,3,3,2,2,2,4,3,4,4,3,3,2,2,3,2,1970,2,9,4,1,4,40,40,40,40
3,3,3,2,4,2,1,2,2,3,4,2,3,2,3,3,2,1958,2,5,4,1,3,44,44,44,44
3,3,4,2,3,3,1,2,2,3,2,3,3,3,3,2,2,1969,2,14,4,3,3,50,50,50,50
4,4,4,2,3,3,1,1,1,1,5,5,5,4,4,4,2,1983,2,1,13,4,3,50,50,50,50
4,4,4,1,3,3,2,1,2,3,4,3,3,3,4,3,2,1974,2,6,13,4,5,50,50,50,50
4,4,4,1,4,2,2,2,2,1,4,4,3,3,4,3,2,1983,2,1,13,4,2,45 -55,45-55,55,55
4,4,3,2,2,2,1,3,4,4,5,4,4,3,4,3,1,1957,2,11,13,3,6,45-50,45-50,50,50
2,2,3,3,4,3,3,4,4,3,4,2,4,4,4,2,1,1987,2,6,13,4,2,20,20,20,20
2,3,2,2,3,3,2,2,3,2,2,2,2,2,2,1,2,1963,2,9,13,1,3,40,40,40,40
4,4,4,3,4,3,1,3,2,2,4,4,4,3,4,2,1,1963,2,9,13,1,4,45,45,45,45
3,3,2,3,3,2,2,3,2,3,4,3,2,1,2,2,1,1979,2,3,13,2,3,50,50,50,50
2,2,2,1,3,2,3,2,2,3,3,3,2,2,2,1,2,1968,2,9,13,1,3,30,30,30,30
4,4,4,2,3,2,2,2,4,3,4,4,3,4,3,3,1,,2,9,13,2,1,50,50,50,50
3,3,3,3,2,2,2,3,3,3,2,3,2,2,2,3,2,1990,2,11,13,4,2,40,40,40,40
1,3,3,4,3,1,1,4,3,3,2,2,2,2,2,2,2,1970,2,9,13,2,3,35,35,35,35
3,3,3,1,3,2,1,2,2,2,3,2,3,2,2,1,1,1971,2,9,13,4,5,45,45,45,45
3,3,3,2,2,2,2,1,2,1,4,4,4,4,4,3,2,1976,1,1,2,2,4,45,45,45,45
3,4,4,2,3,1,1,2,2,3,3,2,3,2,4,3,2,1977,2,9,13,2,4,40,40,40,40
3,4,3,1,4,3,1,2,2,3,4,2,3,1,2,3,1,,2,9,13,1,5,40,40,40,40
3,3,4,2,2,2,2,2,3,3,3,3,3,2,2,2,2,1961,2,14,13,1,5,50,50,50,50
3,3,3,2,3,3,3,2,2,1,4,4,3,3,3,3,2,1986,2,2,13,1,2,60,60,60,60
2,2,3,4,2,1,1,4,4,2,3,2,1,1,1,1,2,1988,1,1,14,3,2,40,40,40,40
2,2,2,2,3,2,2,2,2,2,4,3,2,2,3,2,2,1988,2,11,13,4,1,45,45,45,45
2,2,2,3,3,3,3,3,3,2,3,3,2,1,2,2,2,1989,2,11,3,4,1,40,40,40,40
3,3,3,1,4,4,4,4,4,3,3,3,3,3,3,3,2,1956,2,9,13,1,5,40,40,40,40
2,4,2,3,4,2,3,3,1,3,4,2,3,1,3,2,1,1987,2,11,13,4,3,40,40,40,40
3,3,2,3,2,2,1,2,3,3,4,3,2,1,4,1,1,1957,1,2,4,1,5,70,70,70,70
2,2,3,3,3,2,2,3,2,2,3,2,3,2,2,2,1,1987,2,11,13,1,3,> 50,> 50,50,50
3,3,4,2,3,2,2,2,2,2,4,3,4,3,3,3,2,1988,2,1,13,4,2,25-30,25-30,30,30
3,3,3,2,4,2,2,2,2,2,5,4,3,2,3,2,2,1983,2,11,13,4,2,40-50,40-50,50,50
2,2,2,4,4,3,4,4,2,3,4,1,1,1,2,2,1,1965,2,14,13,3,5,"42,5",42.5,42.5,43
2,3,3,3,1,1,1,3,3,2,1,2,2,1,2,2,2,1963,2,11,13,4,5,50,50,50,50
2,4,4,1,4,3,1,1,2,1,4,4,4,4,4,4,2,1979,1,1,13,1,2,45,45,45,45
