,count,mean,std,min,25%,50%,75%,max
ERI_1,3053.0,2.9466098919095973,0.7259236021377526,1.0,3.0,3.0,3.0,4.0
ERI_2,3053.0,2.8571896495250573,0.7523956250994003,1.0,2.0,3.0,3.0,4.0
ERI_3,3053.0,2.820504421880118,0.7691709770077159,1.0,2.0,3.0,3.0,4.0
ERI_4,3053.0,2.493940386505077,0.8411005664564123,1.0,2.0,3.0,3.0,4.0
ERI_5,3053.0,2.7569603668522764,0.8600772223331311,1.0,2.0,3.0,3.0,4.0
ERI_6,3053.0,2.215198165738618,0.8045608045231125,1.0,2.0,2.0,3.0,4.0
ERI_7,3053.0,1.8011791680314444,0.8124029844277847,1.0,1.0,2.0,2.0,4.0
ERI_8,3053.0,2.3530953160825416,0.7996073842574554,1.0,2.0,2.0,3.0,4.0
ERI_9,3053.0,2.424828037995414,0.7619725975540799,1.0,2.0,2.0,3.0,4.0
ERI_10,3053.0,2.124467736652473,0.8731284534493332,1.0,1.0,2.0,3.0,4.0
CBI_01,3053.0,33.43432689158205,18.81408735169951,0.0,25.0,25.0,50.0,100.0
CBI_02,3053.0,43.72748116606616,22.08519830974557,0.0,25.0,50.0,50.0,100.0
CBI_03,3053.0,47.72355060596135,24.573216065636664,0.0,25.0,50.0,75.0,100.0
CBI_04,3053.0,60.21945627251883,27.030290786797163,0.0,50.0,50.0,75.0,100.0
CBI_05,3053.0,50.15558467081559,25.34526393805297,0.0,25.0,50.0,75.0,100.0
CBI_06,3053.0,64.60858172289551,25.153247572039962,0.0,50.0,75.0,75.0,100.0
gender,3053.0,1.7969210612512283,0.4023566952529346,1.0,2.0,2.0,2.0,2.0
birth year,3053.0,1975.3858499836226,10.398411209157647,1951.0,1967.0,1977.0,1984.0,2000.0
status of employment,3053.0,2.065509335080249,1.4777619955170316,1.0,1.0,2.0,2.0,9.0
field of work,3053.0,1.591549295774648,1.91117137025901,1.0,1.0,1.0,1.0,15.0
federal state,3053.0,7.036030134294137,4.725146633644874,1.0,2.0,7.0,10.0,16.0
community size,3053.0,2.4788732394366195,1.232995388911579,1.0,1.0,2.0,4.0,4.0
income,3053.0,2.9014084507042255,1.4027360392088286,1.0,2.0,3.0,4.0,6.0
working_hours,3053.0,44.91057975761546,15.129460860687287,0.0,40.0,45.0,55.0,80.0
age,3053.0,50.61415001637734,10.398411209157649,26.0,42.0,49.0,59.0,75.0
CBI_SCORE,3053.0,49.978545692761216,19.790744960429194,0.0,33.3,50.0,66.7,100.0
Burnout_Score,3053.0,0.5339010809040288,0.49893111112218713,0.0,0.0,1.0,1.0,1.0
